Zip,Median,Mean,Pop,Wealth,Ratio
1464,72598,76269,6374,3671,0.05
1467,141274,170088,328,28814,0.20
1468,66138,70269,3134,4131,0.06
1469,78502,85145,6892,6643,0.08
1473,79073,86554,6906,7481,0.09
1474,78207,84939,2302,6732,0.09
1475,56274,66418,9597,10143,0.18
1501,70683,81298,15923,10615,0.15
1503,92917,109928,2517,17011,0.18
1504,74067,80879,8824,6811,0.09
1505,88214,128553,4083,40339,0.46
1506,60189,69508,3056,9319,0.15
1507,86561,92648,11274,6086,0.07
1510,57957,69165,13261,11208,0.19
1515,71964,82820,2095,10856,0.15
1516,86214,92231,7089,6016,0.07
1518,72983,87918,2303,14935,0.20
1519,105605,119127,6128,13521,0.13
1520,92166,103496,12543,11330,0.12
1521,65917,76367,2408,10450,0.16
1522,82165,97639,3083,15473,0.19
1523,80938,104486,7102,23548,0.29
1524,74316,85319,6356,11003,0.15
1525,89583,96920,88,7337,0.08
1527,68319,76894,12850,8574,0.13
1529,77250,89180,2715,11930,0.15
1531,61250,76417,942,15167,0.25
1532,103271,125633,14028,22362,0.22
1534,76675,88046,4527,11370,0.15
1535,57196,70880,4703,13684,0.24
1536,89347,101686,5977,12338,0.14
1537,68664,77943,2219,9279,0.14
1540,62079,72326,10958,10247,0.17
1541,102853,114762,3341,11909,0.12
1542,67172,77660,2025,10487,0.16
1543,81295,88574,6332,7279,0.09
1545,88643,101693,31637,13049,0.15
1550,48195,55176,17217,6980,0.14
1560,68854,94984,2754,26130,0.38
1561,80938,104486,236,23548,0.29
1562,65184,71988,11681,6803,0.10
1564,102115,118110,7267,15995,0.16
1566,72387,87792,5531,15405,0.21
1568,107950,121356,5650,13406,0.12
1569,80536,86326,11080,5789,0.07
1570,50142,57820,16396,7678,0.15
1571,64228,72674,10023,8445,0.13
1581,101876,123550,17899,21674,0.21
1583,79865,91095,6665,11229,0.14
1585,60376,72571,4472,12195,0.20
1588,67286,80025,8644,12738,0.19
1590,104730,116563,8247,11833,0.11
1602,61861,78374,21596,16512,0.27
1603,37454,46307,14613,8852,0.24
1604,47438,59373,33032,11935,0.25
1605,41023,54480,24799,13457,0.33
1606,57646,70503,19516,12857,0.22
1607,47987,59094,8415,11106,0.23
1608,26526,39039,3634,12513,0.47
1609,44501,62365,20425,17864,0.40
1610,21388,28805,15545,7416,0.35
1611,63333,73699,2206,10366,0.16
1612,100358,104489,4363,4131,0.04
1701,92018,102936,31114,10917,0.12
1702,53081,65995,35990,12914,0.24
1718,84559,121293,374,36734,0.43
1719,102222,119845,4870,17623,0.17
1720,110534,131678,19798,21144,0.19
1721,91904,114036,14602,22132,0.24
1730,107033,125494,12547,18460,0.17
1731,77369,96728,2914,19359,0.25
1740,125741,148232,4125,22491,0.18
1741,155000,189989,4798,34989,0.23
1742,119902,183178,17075,63276,0.53
1745,114761,142894,331,28133,0.25
1746,101901,122803,13866,20901,0.21
1747,97227,102044,5815,4817,0.05
1748,121182,170522,13318,49340,0.41
1749,76500,85689,18081,9189,0.12
1752,71835,89002,36273,17166,0.24
1754,76228,82167,10414,5939,0.08
1756,102625,117692,5257,15067,0.15
1757,68565,82206,26877,13641,0.20
1760,90673,113933,31763,23259,0.26
1770,145250,190251,4245,45001,0.31
1772,141459,169609,8435,28150,0.20
1773,143771,194811,5143,51040,0.36
1775,117440,129280,5902,11840,0.10
1776,152789,184218,16826,31429,0.21
1778,140652,187265,13191,46613,0.33
1801,71805,79381,37213,7576,0.11
1803,90659,102991,22954,12331,0.14
1810,113874,142022,31228,28148,0.25
1821,87745,95088,29306,7343,0.08
1824,99032,111953,25234,12920,0.13
1826,71731,80688,28728,8956,0.12
1827,113594,120673,2847,7079,0.06
1830,63388,71759,24320,8371,0.13
1832,57959,69232,21246,11273,0.19
1833,97895,115435,7356,17540,0.18
1834,84232,95694,6027,11462,0.14
1835,76253,86304,13426,10051,0.13
1840,18507,28624,4350,10116,0.55
1841,34128,42598,44474,8469,0.25
1843,42587,52579,23184,9991,0.23
1844,66023,75431,43770,9408,0.14
1845,99505,123973,27203,24468,0.25
1850,54087,58893,15688,4806,0.09
1851,51795,61695,29549,9900,0.19
1852,55089,62626,32848,7537,0.14
1854,44616,54300,26785,9684,0.22
1860,75517,93951,6145,18434,0.24
1862,86304,90705,10097,4401,0.05
1863,77458,88612,8558,11154,0.14
1864,97574,112662,13849,15087,0.15
1867,103358,120487,23657,17128,0.17
1876,83976,95140,28599,11164,0.13
1879,92239,106477,11092,14237,0.15
1880,89830,99935,24610,10104,0.11
1886,123906,142724,20811,18818,0.15
1887,97107,108007,21279,10900,0.11
1890,128546,176001,20806,47454,0.37
1901,18257,33810,1630,15552,0.85
1902,38107,49159,45617,11052,0.29
1904,69263,77218,17916,7954,0.11
1905,42449,51336,23905,8887,0.21
1906,69051,84874,26160,15822,0.23
1907,90516,120329,14463,29813,0.33
1913,73843,90786,16447,16942,0.23
1915,71363,90717,39854,19354,0.27
1921,143045,205695,7903,62650,0.44
1922,91052,113098,3041,22046,0.24
1923,76695,97283,25239,20588,0.27
1929,76989,104199,3272,27210,0.35
1930,63047,78512,30261,15464,0.25
1938,82395,98029,12981,15634,0.19
1940,90677,114264,11926,23587,0.26
1944,105000,148622,5234,43622,0.42
1945,95942,139641,20370,43699,0.46
1949,87728,106394,7748,18666,0.21
1950,76313,102337,17249,26023,0.34
1951,91052,113098,3622,22046,0.24
1952,62924,77419,7819,14494,0.23
1960,67119,78619,47991,11500,0.17
1966,73676,93990,7762,20314,0.28
1969,74911,97895,5504,22984,0.31
1970,57313,70552,40268,13238,0.23
1982,97491,104573,8299,7082,0.07
1983,115015,133663,6132,18648,0.16
1984,132697,181580,4451,48883,0.37
1985,111739,140801,4160,29062,0.26
2019,77420,84271,15248,6850,0.09
2021,88829,112721,20755,23892,0.27
2025,114214,165670,7255,51456,0.45
2026,85131,103594,23478,18462,0.22
2030,164583,240515,5561,75932,0.46
2032,77708,101593,3576,23885,0.31
2035,94994,108948,16163,13954,0.15
2038,92042,107379,29553,15337,0.17
2043,99910,146972,19867,47062,0.47
2045,70039,89785,11047,19745,0.28
2047,75170,102029,247,26859,0.36
2048,93593,109080,22393,15486,0.17
2050,85395,105524,24577,20129,0.24
2052,123176,169008,12254,45832,0.37
2053,100950,116761,12503,15811,0.16
2054,85472,95458,7892,9986,0.12
